ERR4682772	Singapore	Jurong	2017-11-22
ERR4682773	Denmark	Avedore	2018-06-11
ERR4682774	Denmark	Valby	2018-06-11
ERR4682775	Denmark	Amager	2018-06-11
ERR4682776	Sweden	Gothenburg	2018-06-15
ERR4682777	Sweden	Uppsala	2018-06-18
ERR4682778	Greece	Athens	2018-06-20
ERR4682779	Cambodia	Phnom Penh	2018-06-22
ERR4682780	Spain	Barcelona	2018-06-21
ERR4682781	Belgium	Ostend	2018-06-12
ERR4682782	Belgium	Leuven	2018-06-20
ERR4682783	Belgium	Harelbeke	2018-06-12
ERR4682784	Czech Republic	Prague	2018-06-20
ERR4682785	Czech Republic	Brno	2018-06-20
ERR4682786	Germany	Dresden	2018-06-21
ERR4682787	Malaysia	Kuala Lumpur	2018-05-31
ERR4682788	France	Nantes	2018-06-11
ERR4682789	France	Saint Philibert	2018-06-20
ERR4682790	Saudi Arabia	Thuwal	2018-06-12
ERR4682791	Austria	Vienna	2018-06-21
ERR4682792	Bosnia and Herzegovina	Banja Luka	2018-06-27
ERR4682793	Burkina Faso	Ouagadougou	2018-06-22
ERR4682794	Portugal	Lisbon	2018-06-27
ERR4682795	Togo	Lome	2018-06-23
ERR4682796	Hungary	Budapest	2018-06-25
ERR4682797	Italy	Novara	2018-06-29
ERR4682798	Italy	Verbania	2018-06-28
ERR4682799	Italy	Cannobio	2018-06-28
ERR4682800	Slovenia	Ljubljana	2018-06-20
ERR4682801	Turkey	Hatay	2018-06-29
ERR4682802	Croatia	Zagreb	2018-07-02
ERR4682803	South Korea	Daejeon	2018-06
ERR4682804	Tanzania	Morogoro	2018-06-25
ERR4682805	Tanzania	Mwanza	2018-06-20
ERR4682806	Japan	Japan	2018-06-22
ERR4682807	United Kingdom	Falmouth	2018-06-29
ERR4682808	United Kingdom	Camborne	2018-06-21
ERR4682809	Canada	Quebec	2018-06
ERR4682810	Pakistan	Faisalabad	2018-06-21
ERR4682811	Serbia	Belgrade	2018-06-12
ERR4682812	Botswana	Gaborone	2018-07-31
ERR4682813	Bulgaria	Sofia	2018-06-07
ERR4682814	Netherlands	Amsterdam	2018-07-04
ERR4682815	Montenegro	Podgorica	2018-07-09
ERR4682816	South Korea	Gwangju	2018-07-10
ERR4682817	Mauritius	Saint Martin	2018-07-06
ERR4682818	Mauritius	Grand Baie	2018-07-06
